team,league,latitude,longitude,altitude,country,city,stadium
Freiburg,D2,47.999,7.8421,0.0,Germany,Freiburg,Unknown
Greuther Furth,D2,49.5003763,10.996705,0.0,Germany,Furth,Unknown
Hamburg,D2,53.5503968,9.9952523,0.0,Germany,Hamburg,Unknown
Hannover,D2,52.3766391,9.77273,0.0,Germany,Hannover,Unknown
Hansa Rostock,D2,54.116005,12.0527635,0.0,Germany,Rostock,Unknown
Heidenheim,D2,48.6685245,10.1392963,0.0,Germany,Heidenheim,Unknown
Hertha,D2,52.5145846,13.2398144,0.0,Germany,Hertha,Unknown
Holstein Kiel,D2,54.3190039,10.1014959,0.0,Germany,Kiel,Unknown
Ingolstadt,D2,48.7322804,11.4361318,0.0,Germany,Ingolstadt,Unknown
Kaiserslautern,D2,49.4808719,7.7765038,0.0,Germany,Kaiserslautern,Unknown
Karlsruhe,D2,49.0179109,8.4653798,0.0,Germany,Karlsruhe,Unknown
Magdeburg,D2,52.1525895,11.6836564,0.0,Germany,Magdeburg,Unknown
Munich 1860,D2,48.1371079,11.5753822,0.0,Germany,1860,Unknown
Nurnberg,D2,49.4276033,11.1229023,0.0,Germany,Nurnberg,Unknown
Oberhausen,D2,51.5206794,6.8409006,0.0,Germany,Oberhausen,Unknown
Osnabruck,D2,52.2765532,8.0219645,0.0,Germany,Osnabruck,Unknown
Paderborn,D2,51.7177044,8.752653,0.0,Germany,Paderborn,Unknown
Preußen Münster,D2,51.9310428,7.6254232,0.0,Germany,Münster,Unknown
RB Leipzig,D2,51.3457079,12.3482361,0.0,Germany,Leipzig,Unknown
Regensburg,D2,48.9908566,12.1073501,0.0,Germany,Regensburg,Unknown
Sandhausen,D2,49.3341259,8.6469914,0.0,Germany,Sandhausen,Unknown
Schalke 04,D2,51.5580634,7.0634587,0.0,Germany,Gelsenkirchen,Unknown
St Pauli,D2,53.5546486,9.9690494,0.0,Germany,St Pauli,Unknown
Stuttgart,D2,48.7922487,9.2320857,0.0,Germany,Stuttgart,Unknown
Ulm,D2,48.4011,9.9876,0.0,Germany,Ulm,Unknown
Union Berlin,D2,52.52,13.405,0.0,Germany,Berlin,Unknown
Wehen,D2,50.152338,8.1836014,0.0,Germany,Wehen,Unknown
Werder Bremen,D2,53.057718,8.8523703,0.0,Germany,Bremen,Unknown
Wurzburger Kickers,D2,49.7790965,9.9621004,0.0,Germany,Kickers,Unknown
Arsenal,E0,51.5074,-0.1278,0.0,England,London,Unknown
Aston Villa,E0,52.5091264,-1.8850354,0.0,England,Villa,Unknown
Blackburn,E0,53.7486,-2.4875,0.0,England,Blackburn,Unknown
Bolton,E0,53.5805396,-2.5356648,0.0,England,Bolton,Unknown
Bournemouth,E0,50.7351814,-1.8383279,0.0,England,Bournemouth,Unknown
Brentford,E0,51.490713,-0.2889802,0.0,England,Brentford,Unknown
Brighton,E0,50.8615471,-0.0836931,0.0,England,Brighton,Unknown
Burnley,E0,53.8054523,-2.2952421,0.0,England,Burnley,Unknown
Cardiff,E0,51.4782485,-3.1826256,0.0,England,Cardiff,Unknown
