team_name,league,latitude,longitude,altitude,country,city,stadium,status,coord_source
Aachen,D2,50.7955364,6.0942621,0.0,Germany,Aachen,Unknown,success,stadium_coordinates
Aalen,D2,48.8375607,10.0929593,0.0,Germany,Aalen,Unknown,success,stadium_coordinates
Augsburg,D2,48.3231179,10.885879,0.0,Germany,Augsburg,Unknown,success,stadium_coordinates
Bielefeld,D2,52.0191005,8.531007,0.0,Germany,Bielefeld,Unknown,success,stadium_coordinates
Bochum,D2,51.4695221,7.2417465,0.0,Germany,Bochum,Unknown,success,stadium_coordinates
Braunschweig,D2,52.3327757,10.5165744,0.0,Germany,Braunschweig,Unknown,success,stadium_coordinates
Cottbus,D2,51.7345332,14.3223664,0.0,Germany,Cottbus,Unknown,success,stadium_coordinates
Darmstadt,D2,49.8510637,8.64124,0.0,Germany,Darmstadt,Unknown,success,stadium_coordinates
Dresden,D2,51.0504,13.7373,0.0,Germany,Dresden,Unknown,success,city_manual
Duisburg,D2,51.4049404,6.7797033,0.0,Germany,Duisburg,Unknown,success,stadium_coordinates
Ein Frankfurt,D2,50.1363551,8.6682317,0.0,Germany,Frankfurt,Unknown,success,stadium_coordinates
Elversberg,D2,49.31539,7.1268184,0.0,Germany,Elversberg,Unknown,success,stadium_coordinates
Erzgebirge Aue,D2,50.5979205,12.7087091,0.0,Germany,Aue,Unknown,success,stadium_coordinates
FC Koln,D2,50.9069197,6.9040912,0.0,Germany,Koln,Unknown,success,stadium_coordinates
Fortuna Dusseldorf,D2,51.2268801,6.8133931,0.0,Germany,Dusseldorf,Unknown,success,stadium_coordinates
Frankfurt FSV,D2,50.128031,8.7231876,0.0,Germany,FSV,Unknown,success,stadium_coordinates
Freiburg,D2,47.999,7.8421,0.0,Germany,Freiburg,Unknown,success,city_manual
Greuther Furth,D2,49.5003763,10.996705,0.0,Germany,Furth,Unknown,success,stadium_coordinates
Hamburg,D2,53.5503968,9.9952523,0.0,Germany,Hamburg,Unknown,success,stadium_coordinates
Hannover,D2,52.3766391,9.77273,0.0,Germany,Hannover,Unknown,success,stadium_coordinates
Hansa Rostock,D2,54.116005,12.0527635,0.0,Germany,Rostock,Unknown,success,stadium_coordinates
Heidenheim,D2,48.6685245,10.1392963,0.0,Germany,Heidenheim,Unknown,success,stadium_coordinates
Hertha,D2,52.5145846,13.2398144,0.0,Germany,Hertha,Unknown,success,stadium_coordinates
Holstein Kiel,D2,54.3190039,10.1014959,0.0,Germany,Kiel,Unknown,success,stadium_coordinates
Ingolstadt,D2,48.7322804,11.4361318,0.0,Germany,Ingolstadt,Unknown,success,stadium_coordinates
Kaiserslautern,D2,49.4808719,7.7765038,0.0,Germany,Kaiserslautern,Unknown,success,stadium_coordinates
Karlsruhe,D2,49.0179109,8.4653798,0.0,Germany,Karlsruhe,Unknown,success,stadium_coordinates
Magdeburg,D2,52.1525895,11.6836564,0.0,Germany,Magdeburg,Unknown,success,stadium_coordinates
Munich 1860,D2,48.1371079,11.5753822,0.0,Germany,1860,Unknown,success,stadium_coordinates
Nurnberg,D2,49.4276033,11.1229023,0.0,Germany,Nurnberg,Unknown,success,stadium_coordinates
Oberhausen,D2,51.5206794,6.8409006,0.0,Germany,Oberhausen,Unknown,success,stadium_coordinates
Osnabruck,D2,52.2765532,8.0219645,0.0,Germany,Osnabruck,Unknown,success,stadium_coordinates
Paderborn,D2,51.7177044,8.752653,0.0,Germany,Paderborn,Unknown,success,stadium_coordinates
Preußen Münster,D2,51.9310428,7.6254232,0.0,Germany,Münster,Unknown,success,stadium_coordinates
RB Leipzig,D2,51.3457079,12.3482361,0.0,Germany,Leipzig,Unknown,success,stadium_coordinates
Regensburg,D2,48.9908566,12.1073501,0.0,Germany,Regensburg,Unknown,success,stadium_coordinates
