team,league,country,city,status,coord_source,latitude,longitude
FC Koln,D2,Germany,Koln,success,stadium_coordinates,50.9069197,6.9040912
Fortuna Dusseldorf,D2,Germany,Dusseldorf,success,stadium_coordinates,51.2268801,6.8133931
Frankfurt FSV,D2,Germany,FSV,success,stadium_coordinates,50.128031,8.7231876
Freiburg,D2,Germany,Freiburg,missing,city_manual,47.999,7.8421
Greuther Furth,D2,Germany,Furth,success,stadium_coordinates,49.5003763,10.996705
Hamburg,D2,Germany,Hamburg,success,stadium_coordinates,53.5503968,9.9952523
Hannover,D2,Germany,Hannover,success,stadium_coordinates,52.3766391,9.77273
Hansa Rostock,D2,Germany,Rostock,success,stadium_coordinates,54.116005,12.0527635
Heidenheim,D2,Germany,Heidenheim,success,stadium_coordinates,48.6685245,10.1392963
Hertha,D2,Germany,Hertha,success,stadium_coordinates,52.5145846,13.2398144
Holstein Kiel,D2,Germany,Kiel,success,stadium_coordinates,54.3190039,10.1014959
Ingolstadt,D2,Germany,Ingolstadt,success,stadium_coordinates,48.7322804,11.4361318
Kaiserslautern,D2,Germany,Kaiserslautern,success,stadium_coordinates,49.4808719,7.7765038
Karlsruhe,D2,Germany,Karlsruhe,success,stadium_coordinates,49.0179109,8.4653798
Magdeburg,D2,Germany,Magdeburg,success,stadium_coordinates,52.1525895,11.6836564
Munich 1860,D2,Germany,1860,success,stadium_coordinates,48.1371079,11.5753822
Nurnberg,D2,Germany,Nurnberg,success,stadium_coordinates,49.4276033,11.1229023
Oberhausen,D2,Germany,Oberhausen,success,stadium_coordinates,51.5206794,6.8409006
Osnabruck,D2,Germany,Osnabruck,success,stadium_coordinates,52.2765532,8.0219645
Paderborn,D2,Germany,Paderborn,success,stadium_coordinates,51.7177044,8.752653
Preußen Münster,D2,Germany,Münster,success,stadium_coordinates,51.9310428,7.6254232
RB Leipzig,D2,Germany,Leipzig,success,stadium_coordinates,51.3457079,12.3482361
Regensburg,D2,Germany,Regensburg,success,stadium_coordinates,48.9908566,12.1073501
Sandhausen,D2,Germany,Sandhausen,success,stadium_coordinates,49.3341259,8.6469914
Schalke 04,D2,Germany,Gelsenkirchen,success,stadium_coordinates,51.5580634,7.0634587
St Pauli,D2,Germany,St Pauli,success,stadium_coordinates,53.5546486,9.9690494
Stuttgart,D2,Germany,Stuttgart,success,stadium_coordinates,48.7922487,9.2320857
Ulm,D2,Germany,Ulm,missing,city_manual,48.4011,9.9876
Union Berlin,D2,Germany,Berlin,missing,city_manual,52.52,13.405
Wehen,D2,Germany,Wehen,success,stadium_coordinates,50.152338,8.1836014
Werder Bremen,D2,Germany,Bremen,success,stadium_coordinates,53.057718,8.8523703
Wurzburger Kickers,D2,Germany,Kickers,success,stadium_coordinates,49.7790965,9.9621004
Arsenal,E0,England,London,missing,city_manual,51.5074,-0.1278
Aston Villa,E0,England,Villa,success,stadium_coordinates,52.5091264,-1.8850354
Blackburn,E0,England,Blackburn,missing,city_manual,53.7486,-2.4875
Bolton,E0,England,Bolton,success,stadium_coordinates,53.5805396,-2.5356648
Bournemouth,E0,England,Bournemouth,success,stadium_coordinates,50.7351814,-1.8383279
Brentford,E0,England,Brentford,success,stadium_coordinates,51.490713,-0.2889802
Brighton,E0,England,Brighton,success,stadium_coordinates,50.8615471,-0.0836931
Burnley,E0,England,Burnley,success,stadium_coordinates,53.8054523,-2.2952421
Cardiff,E0,England,Cardiff,success,stadium_coordinates,51.4782485,-3.1826256
Chelsea,E0,England,Chelsea,success,stadium_coordinates,51.4792191,-0.1808217
Crystal Palace,E0,England,Palace,success,stadium_coordinates,51.4191635,-0.0687969
Everton,E0,England,Liverpool,missing,city_manual,53.4084,-2.9916
Fulham,E0,England,Fulham,success,stadium_coordinates,51.482781,-0.1912833
Huddersfield,E0,England,Huddersfield,success,stadium_coordinates,53.6543494,-1.7682999
Hull,E0,England,Hull,success,stadium_coordinates,53.7462258,-0.3678239
Ipswich,E0,England,Ipswich,success,stadium_coordinates,52.0549518,1.1452848
Leeds,E0,England,Leeds,success,stadium_coordinates,53.7778612,-1.5721775
Leicester,E0,England,Leicester,success,stadium_coordinates,52.620397,-1.1423352
Liverpool,E0,England,Liverpool,missing,city_manual,53.4084,-2.9916
Luton,E0,England,Luton,success,stadium_coordinates,51.8841259,-0.4316701
Man City,E0,England,Manchester,missing,city_manual,53.4808,-2.2426
Man United,E0,England,Manchester,missing,city_manual,53.4808,-2.2426
Middlesbrough,E0,England,Middlesbrough,success,stadium_coordinates,54.5783134,-1.2169153
Newcastle,E0,England,Newcastle,missing,city_manual,54.9783,-1.6178
Norwich,E0,England,Norwich,success,stadium_coordinates,52.6220315,1.3093222
Nott'm Forest,E0,England,Forest,success,stadium_coordinates,52.94,-1.132778
QPR,E0,England,London,missing,city_manual,51.5074,-0.1278
Reading,E0,England,Reading,success,stadium_coordinates,51.4223346,-0.9831238
Sheffield United,E0,England,Sheffield,success,stadium_coordinates,53.4286674,-1.370864
Southampton,E0,England,Southampton,success,stadium_coordinates,50.9058615,-1.3908774
Stoke,E0,England,Stoke,success,stadium_coordinates,52.0549518,1.1452848
Sunderland,E0,England,Sunderland,success,stadium_coordinates,54.9143953,-1.3882579
Swansea,E0,England,Swansea,success,stadium_coordinates,51.6428065,-3.934739
Tottenham,E0,England,Tottenham,success,stadium_coordinates,51.604157,-0.0662604
Watford,E0,England,Watford,success,stadium_coordinates,51.6497589,-0.4013489
West Brom,E0,England,West Bromwich,missing,city_manual,52.5181,-1.9945
West Ham,E0,England,London,missing,city_manual,51.5074,-0.1278
Wigan,E0,England,Wigan,success,stadium_coordinates,53.5477333,-2.6540131
Wolves,E0,England,Wolves,success,stadium_coordinates,52.6076564,-2.1494975
Aston Villa,E1,England,Villa,success,stadium_coordinates,52.5091264,-1.8850354
Barnsley,E1,England,Barnsley,success,stadium_coordinates,53.5521491,-1.4677429
Birmingham,E1,England,Birmingham,success,stadium_coordinates,52.4797407,-1.9150322
Blackburn,E1,England,Blackburn,missing,city_manual,53.7486,-2.4875
Blackpool,E1,England,Blackpool,success,stadium_coordinates,53.8047874,-3.0482513
Bolton,E1,England,Bolton,success,stadium_coordinates,53.5805396,-2.5356648
Bournemouth,E1,England,Bournemouth,success,stadium_coordinates,50.7351814,-1.8383279
Brentford,E1,England,Brentford,success,stadium_coordinates,51.490713,-0.2889802
Brighton,E1,England,Brighton,success,stadium_coordinates,50.8615471,-0.0836931
Bristol City,E1,England,Bristol,success,stadium_coordinates,51.4398694,-2.6203405
Burnley,E1,England,Burnley,success,stadium_coordinates,53.8054523,-2.2952421
Burton,E1,England,Burton,success,stadium_coordinates,52.8218506,-1.6269256
Cardiff,E1,England,Cardiff,success,stadium_coordinates,51.4782485,-3.1826256
Charlton,E1,England,Charlton,success,stadium_coordinates,51.4794928,0.0527221
Coventry,E1,England,Coventry,success,stadium_coordinates,52.4481581,-1.4970174
Crystal Palace,E1,England,Palace,success,stadium_coordinates,51.4191635,-0.0687969
Derby,E1,England,Derby,success,stadium_coordinates,52.9149454,-1.4473191
Doncaster,E1,England,Doncaster,success,stadium_coordinates,53.5890159,-1.0298081
Fulham,E1,England,Fulham,success,stadium_coordinates,51.482781,-0.1912833
