team_name,league,latitude,longitude,status
Cardiff,E1,51.4782485,-3.1826256,success
Charlton,E1,51.4794928,0.0527221,success
Coventry,E1,52.4481581,-1.4970174,success
Crystal Palace,E1,51.4191635,-0.0687969,success
Derby,E1,52.9149454,-1.4473191,success
Doncaster,E1,53.5890159,-1.0298081,success
Fulham,E1,51.482781,-0.1912833,success
Huddersfield,E1,53.6543494,-1.7682999,success
Hull,E1,53.7462258,-0.3678239,success
Ipswich,E1,52.0549518,1.1452848,success
Leeds,E1,53.7778612,-1.5721775,success
Leicester,E1,52.620397,-1.1423352,success
Luton,E1,51.8841259,-0.4316701,success
Middlesbrough,E1,54.5783134,-1.2169153,success
Millwall,E1,51.4855805,-0.0513983,success
Milton Keynes Dons,E1,52.0460472,-0.7466835,success
Norwich,E1,52.6220315,1.3093222,success
Nott'm Forest,E1,,,failed
Oxford,E1,51.7265293,-1.1998903,success
Preston,E1,53.7722148,-2.6885609,success
Reading,E1,51.4223346,-0.9831238,success
Rotherham,E1,53.4267854,-1.362678,success
Scunthorpe,E1,53.5825219,-0.6783354,success
Sheffield United,E1,53.4286674,-1.370864,success
Sheffield Weds,E1,,,failed
Southampton,E1,50.9058615,-1.3908774,success
Stoke,E1,52.0549518,1.1452848,success
Sunderland,E1,54.9143953,-1.3882579,success
Swansea,E1,51.6428065,-3.934739,success
Watford,E1,51.6497589,-0.4013489,success
Wigan,E1,53.5477333,-2.6540131,success
Wolves,E1,52.6076564,-2.1494975,success
Wrexham,E1,53.0443125,-2.9766849,success
Wycombe,E1,51.6304108,-0.8002826,success
Yeovil,E1,50.9420451,-2.6318629,success
AFC Wimbledon,E2,51.4315282,-0.1867047,success
Accrington,E2,53.7654011,-2.370969,success
Barnsley,E2,53.5521491,-1.4677429,success
Birmingham,E2,52.4797407,-1.9150322,success
Blackpool,E2,53.8047874,-3.0482513,success
Bolton,E2,53.5805396,-2.5356648,success
Bournemouth,E2,50.7351814,-1.8383279,success
Brentford,E2,51.490713,-0.2889802,success
Brighton,E2,50.8615471,-0.0836931,success
Bristol City,E2,51.4398694,-2.6203405,success
Bristol Rvs,E2,,,failed
Burton,E2,52.8218506,-1.6269256,success
Bury,E2,53.5805538,-2.2949212,success
Cambridge,E2,52.2120297,0.1541831,success
Cardiff,E2,51.4782485,-3.1826256,success
Charlton,E2,51.4794928,0.0527221,success
Cheltenham,E2,51.9061781,-2.0602145,success
Chesterfield,E2,53.2535581,-1.4258193,success
Colchester,E2,51.923439,0.8976478,success
Coventry,E2,52.4481581,-1.4970174,success
Crawley Town,E2,51.1191344,-0.191615,success
Crewe,E2,53.087402,-2.4357333,success
Dag and Red,E2,,,failed
Derby,E2,52.9149454,-1.4473191,success
Doncaster,E2,53.5890159,-1.0298081,success
Exeter,E2,50.7093752,-3.4675489,success
Fleetwood Town,E2,53.885312,-3.0084092,success
Forest Green,E2,51.6989868,-2.2377653,success
Gillingham,E2,51.3842253,0.5609658,success
Hartlepool,E2,54.6890602,-1.2126565,success
Huddersfield,E2,53.6543494,-1.7682999,success
Hull,E2,53.7462258,-0.3678239,success
Ipswich,E2,52.0549518,1.1452848,success
Leyton Orient,E2,51.5599794,-0.013533,success
Luton,E2,51.8841259,-0.4316701,success
Millwall,E2,51.4855805,-0.0513983,success
Milton Keynes Dons,E2,52.0460472,-0.7466835,success
Morecambe,E2,54.0614689,-2.8672646,success
Northampton,E2,52.2352633,-0.9335741,success
Notts County,E2,52.9536232,-1.144662,success
Oldham,E2,53.5475003,-2.1438254,success
Oxford,E2,51.7265293,-1.1998903,success
Port Vale,E2,53.0500906,-2.1926292,success
Preston,E2,53.7722148,-2.6885609,success
Reading,E2,51.4223346,-0.9831238,success
Rochdale,E2,53.6207953,-2.1799129,success
Rotherham,E2,53.4267854,-1.362678,success
Scunthorpe,E2,53.5825219,-0.6783354,success
Sheffield United,E2,53.4286674,-1.370864,success
Sheffield Weds,E2,,,failed
Shrewsbury,E2,52.6865188,-2.7485853,success
Southampton,E2,50.9058615,-1.3908774,success
Southend,E2,51.5490442,0.7015486,success
Stevenage,E2,51.8896479,-0.1937405,success
Stockport,E2,53.3996433,-2.1664844,success
Sunderland,E2,54.9143953,-1.3882579,success
Swindon,E2,51.607755,-1.7924329,success
Tranmere,E2,53.3738916,-3.0317875,success
Walsall,E2,52.5655014,-1.9904976,success
Wigan,E2,53.5477333,-2.6540131,success
Wolves,E2,52.6076564,-2.1494975,success
Wrexham,E2,53.0443125,-2.9766849,success
Wycombe,E2,51.6304108,-0.8002826,success
Yeovil,E2,50.9420451,-2.6318629,success
AFC Wimbledon,E3,51.4315282,-0.1867047,success
Accrington,E3,53.7654011,-2.370969,success
Aldershot,E3,51.2646793,-0.754589,success
Barnet,E3,51.6033587,-0.2242463,success
Blackpool,E3,53.8047874,-3.0482513,success
